"","county","n_seq"
"1","Adams County",398
"2","Asotin County",93
"3","Benton County",4094
"4","Chelan County",1135
"5","Clallam County",1489
"6","Clark County",1425
"7","Columbia County",8
"8","Cowlitz County",1018
"9","Douglas County",675
"10","Ferry County",49
"11","Franklin County",3243
"12","Garfield County",18
"13","Grant County",891
"14","Grays Harbor County",1193
"15","Island County",620
"16","Jefferson County",144
"17","King County",50211
"18","Kitsap County",1407
"19","Kittitas County",541
"20","Klickitat County",152
"21","Lewis County",1158
"22","Lincoln County",126
"23","Mason County",520
"24","Okanogan County",307
"25","Pacific County",408
"26","Pend Oreille County",111
"27","Pierce County",7549
"28","San Juan County",59
"29","Skagit County",2480
"30","Skamania County",29
"31","Snohomish County",9622
"32","Spokane County",4424
"33","Stevens County",187
"34","Thurston County",3411
"35","Wahkiakum County",38
"36","Walla Walla County",582
"37","Whatcom County",6870
"38","Whitman County",985
"39","Yakima County",5969
